Gene_ID;Name;Caco2_4h;Caco2_24h;Caco2_mock_4h;Caco2_untr_4h;Calu3_4h;Calu3_24h;Calu3_mock_4h;Calu3_untr_4h;H1299_4h;H1299_24h;H1299_mock_4h;H1299_untr_4h
ENSG00000000003.14;TSPAN6;105,83;86,16;105,83;123,33;92,74;67,45;101,44;105;18,04;17,1;17,47;17,18
ENSG00000000419.12;DPM1;442,72;531,84;458,12;485,65;320,61;308,11;325,87;306,78;224,48;223,82;217,62;229,88
ENSG00000000457.14;SCYL3;4,15;6,16;4,98;5,33;10,95;13,84;10,91;10,5;5,34;5,65;5,08;5,27
ENSG00000000460.17;C1orf112;14,75;20,49;15,29;17,89;19,59;30,65;19,9;23,08;16,61;15,66;16,42;17,61
ENSG00000000938.13;FGR;0,01;0,06;0;0,07;0;0,1;0;0;0;0;0;0
ENSG00000000971.15;CFH;0;0;0,03;0;3,85;34,22;4,17;4,05;0,02;0,05;0,07;0,06
ENSG00000001036.13;FUCA2;232,41;204,74;237,61;261,72;81,84;58,29;85,59;84,11;261,91;259,03;260,85;257,15
ENSG00000001084.12;GCLC;38,84;29,11;36,69;31,45;27,56;25,92;27,36;29,91;20,77;19,91;20,14;19,57
ENSG00000001167.14;NFYA;75,53;69,03;69,73;74,44;64,71;46,46;62,48;59,19;83,8;68,22;82,44;77,19
ENSG00000001460.18;STPG1;1,2;2,11;1,33;1,68;3,31;3,57;3,16;3,13;3,83;4,31;3,54;3,72
ENSG00000001461.17;NIPAL3;1,45;1,52;1,24;1,88;15,7;10,83;15,41;18,71;13,21;13,81;12,97;14,14
ENSG00000001497.16;LAS1L;64,99;63,73;64,62;69,93;54,7;48,4;59,8;58,22;131,72;147,73;135,83;134,78
ENSG00000001561.7;ENPP4;3,24;3,06;3,45;5,05;54,28;45,76;53,24;58,57;2,62;2,56;2,58;2,81
ENSG00000001617.12;SEMA3F;3,52;3,74;3,38;5,33;2,19;2,3;2,07;1,88;0,27;0,12;0,2;0,24
ENSG00000001626.15;CFTR;27,42;21,22;29,3;45,24;206,02;105,49;233,94;233,14;0;0;0;0
ENSG00000001629.10;ANKIB1;51,18;62,67;48,35;55,73;43,01;59,91;42,16;44,39;87,64;97,34;90;91,7
ENSG00000001630.17;CYP51A1;191,01;129,86;190,12;184,94;44,68;45,29;47,49;44,01;64,47;76,88;65,5;64,59
ENSG00000001631.15;KRIT1;19,64;26,9;19,63;24,52;7,26;8,88;6,77;8,48;35,69;34,02;35,09;37,76
ENSG00000002016.17;RAD52;16,26;23,91;14,9;19,52;9,12;12,22;8,78;7,71;25,46;26,23;28,94;27,8
ENSG00000002079.14;MYH16;0,56;2,92;0,39;0,34;3,29;1,06;2,39;2,99;4,44;2,1;4,61;3,79
ENSG00000002330.13;BAD;45,58;55,05;48,08;53,45;97,19;61,96;98,03;109,69;84,78;79,13;84,66;82,63
ENSG00000002549.12;LAP3;201,2;182,22;195,26;191,04;95,81;383,94;101,61;100,5;214,24;219,26;216,53;213,39
ENSG00000002586.20;CD99;163,79;147,64;163,31;175,87;40,11;34,94;38,93;42,15;18,08;18,14;16,92;17,16
ENSG00000002587.10;HS3ST1;5,85;3,93;5,1;3,89;94,19;81,26;83,85;77,77;0;0;0;0
ENSG00000002726.20;AOC1;0,02;0;0,05;0,03;0,24;0,09;0,26;0,52;0;0;0;0
ENSG00000002745.13;WNT16;0;0,03;0;0;0,06;0,36;0,32;0,18;12,93;11,38;12,6;12,85
ENSG00000002746.15;HECW1;0,04;0,02;0,02;0,01;0,01;0,02;0,05;0,02;0,06;0,06;0,03;0,1
ENSG00000002822.15;MAD1L1;14,87;19,47;14,79;15,18;18,96;16,08;18,56;20,26;24,1;23,11;23,85;23,63
ENSG00000002834.18;LASP1;216,72;158,13;204,82;187,31;492,66;341,01;483,17;498,56;96,65;107,79;96,37;96,29
ENSG00000002919.14;SNX11;41,25;34,52;38,94;35,7;34,38;41,49;33,81;36,55;43,28;36,7;43,13;40,85
ENSG00000002933.9;TMEM176A;0,38;0,18;0,29;0,16;0,37;0,06;0,4;0,91;0;0;0;0
ENSG00000003056.8;M6PR;216,78;192,89;213,58;225,74;217,87;192,38;236,15;226,19;232,53;220,44;232,45;219,96
ENSG00000003096.14;KLHL13;4,5;9,34;5,28;9,32;0,14;0,27;0,18;0,08;1,37;1,45;1,33;1,43
ENSG00000003137.8;CYP26B1;0,64;0,45;0,35;0,46;0,42;0,35;0,33;0,4;0,18;0,12;0,11;0,13
ENSG00000003147.19;ICA1;23,43;19,71;23,67;26,73;49,84;35,93;52,42;51,64;8,72;10,27;8,8;9,39
ENSG00000003249.13;DBNDD1;50,9;42,11;46,31;34,47;64,42;30,21;63,29;62,88;18,84;18,57;18,43;19
ENSG00000003393.15;ALS2;21,02;26,53;21,52;23,77;17,75;20,16;15,97;15,95;31,13;29,48;31,31;32,28
ENSG00000003400.14;CASP10;2,24;4,29;1,6;2,71;7,71;20,5;5,68;8,4;0,02;0,02;0,03;0,01
ENSG00000003402.20;CFLAR;46,9;22,18;42,25;20,9;28,35;42,1;26,6;27;14,74;11,63;14,11;13,67
ENSG00000003436.16;TFPI;9,25;8,51;9,4;8,74;48,44;27,21;49,43;56,17;4,64;5,13;4,52;5,2
ENSG00000003509.16;NDUFAF7;23,22;34,03;23,85;26,57;15,59;18,92;16,73;17,37;18,61;18,49;18,11;18,47
ENSG00000003756.16;RBM5;27,17;39,63;25,52;31,94;33,63;60,08;29,69;35,89;36,46;35,79;37,76;38,05
ENSG00000003987.14;MTMR7;0,01;0,04;0,06;0,02;0,02;0,02;0,03;0,12;0,07;0,09;0,08;0,11
ENSG00000003989.17;SLC7A2;51,15;46,06;54,05;56,39;25,33;21,38;26,22;24,57;10,34;11,38;11,23;11,75
ENSG00000004059.11;ARF5;204,04;193,27;213,74;216,69;190,93;147,57;196,26;200,16;148,52;150,08;143,11;145,36
ENSG00000004139.14;SARM1;8,2;6,3;8,56;9,25;5,24;2,99;5,4;5,48;2,29;2,33;1,96;2,26
ENSG00000004142.12;POLDIP2;389,48;408,82;390,81;428,48;197,31;153,9;191,17;175,52;149,32;144,54;155,49;151,02
ENSG00000004399.12;PLXND1;18,15;10,81;15,99;12,29;4,49;2,93;3,21;3,14;3,34;3,53;3,48;3,17
